name,birthday,nationality
Tom Hanks,1956-07-09,USA
Julia Roberts,1967-10-28,USA
Wagner Moura,1976-06-27,BRAZIL
Sandra Bullock,1964-07-26,USA
Gisele Bündchen,1980-07-20,BRAZIL
Denzel Washington,1954-12-28,USA
Camila Mendes,1994-06-29,BRAZIL
Brad Pitt,1963-12-18,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Chris Evans,1981-06-13,USA
Gloria Pires,1963-08-23,BRAZIL
Meryl Streep,1949-06-22,USA
Wagner Moura,1976-06-27,BRAZIL
Robert Downey Jr.,1965-04-04,USA
Taís Araújo,1978-11-25,BRAZIL
Matt Damon,1970-10-08,USA
Cauã Reymond,1980-05-20,BRAZIL
Angelina Jolie,1975-06-04,USA
Rodrigo Santoro,1975-08-22,BRAZIL
